"sd_label","sd_per_group","sd_ratio","design","mean_n_per_group","n_per_group","route_rank_probability","route_mc_se","mean_resid_excess_kurtosis","sd_resid_excess_kurtosis"
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"unbalanced, larger n larger SD",100,"50, 80, 120, 150",0.4275,0.0247357913760607,0.583915996412214,0.36874564985194
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"unbalanced, larger n smaller SD",10,"15, 12, 8, 5",0.1575,0.0182135766668713,0.632315650167821,1.2803693414217
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"unbalanced, larger n smaller SD",20,"30, 24, 16, 10",0.2025,0.0200931424869282,0.753431448879755,0.943600545806987
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"unbalanced, larger n smaller SD",50,"75, 60, 40, 25",0.425,0.0247171499166065,0.9689216209588,0.822455216024702
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"unbalanced, larger n smaller SD",100,"150, 120, 80, 50",0.74,0.0219317121994613,1.06719846500278,0.624956484538886
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"balanced",10,"10, 10, 10, 10",0.265,0.0220666603726074,1.11647801296917,1.25689510017947
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"balanced",20,"20, 20, 20, 20",0.45,0.0248746859276655,1.38576111485628,1.17120108698882
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"balanced",50,"50, 50, 50, 50",0.865,0.0170861786248418,1.65542677904771,0.879111095088172
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"balanced",100,"100, 100, 100, 100",0.9925,0.00431385848168437,1.72680228958852,0.690658295496726
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n larger SD",10,"5, 8, 12, 15",0.16,0.0183303027798234,0.737836199264581,1.13996587135107
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n larger SD",20,"10, 16, 24, 30",0.27,0.0221979728804231,0.910265381564413,0.925646448619414
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n larger SD",50,"25, 40, 60, 75",0.6325,0.0241062102994228,1.02527945981119,0.65868159221739
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n larger SD",100,"50, 80, 120, 150",0.895,0.0153276710559693,1.07358852869626,0.54088317235773
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n smaller SD",10,"15, 12, 8, 5",0.31,0.0231246621596944,1.4600521164842,1.66681171397197
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n smaller SD",20,"30, 24, 16, 10",0.6175,0.0242998842589836,1.88912970847776,1.49671948861787
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n smaller SD",50,"75, 60, 40, 25",0.935,0.0123262930356211,2.29421455719478,1.36953899087709
"strong 1:3.4","1.0, 1.6, 2.4, 3.4",3.4,"unbalanced, larger n smaller SD",100,"150, 120, 80, 50",0.995,0.00352668399491647,2.47418825719591,1.06555992053419
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"balanced",10,"10, 10, 10, 10",0.1575,0.0182135766668713,0.867738791309574,1.44802758261775
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"balanced",20,"20, 20, 20, 20",0.3775,0.0242380769657991,1.29433026596483,1.35849109794757
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"balanced",50,"50, 50, 50, 50",0.7175,0.0225107613154242,1.54938168301774,0.88841468119954
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"balanced",100,"100, 100, 100, 100",0.925,0.0131695671910659,1.50646698853757,0.729232096751982
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n larger SD",10,"5, 8, 12, 15",0.185,0.0194148783153539,0.850048949266262,1.22619359389257
