"design_set","design","omega_sq_regime","omega_sq","shift_scale","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se","ats_h0p_power","ats_h0p_mc_se"
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.14056,0.00155436730794237,0.13644,0.00153508388305004,0.13054,0.00150664732701452
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"normal",1,0,0,0.77718,0.00186102792886082,0.76822,0.00188710376821202,0.75832,0.00191452750097772
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",2,0,6,0.95796,0.000897470204519347,0.95632,0.000914024699885075,0.95346,0.000942061870579635
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.66624,0.00210885875487193,0.6572,0.00212267830817578,0.64748,0.00213658442192205
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.4208,0.00220783767519263,0.41194,0.0022011153372779,0.40196,0.00219266120684432
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.25108,0.00193927220162617,0.24476,0.00192277165778987,0.23668,0.00190085547898834
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"normal",1,0,0,0.9806,0.00061682477252458,0.97876,0.000644807915584169,0.9773,0.0006661037456733
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",2,0,6,0.99972,7.48226703613212e-05,0.99972,7.48226703613212e-05,0.99972,7.48226703613212e-05
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",3,0.5,1,0.9422,0.00104363940132596,0.939,0.00107031770984134,0.93538,0.00109949311594025
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",4,1,1.6,0.74238,0.00195577061845197,0.73374,0.00197669224918802,0.72574,0.0019952015056129
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",5,2,6.6,0.47616,0.0022335248124881,0.46708,0.00223121614192798,0.45766,0.00222803646469262
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"normal",1,0,0,0.07104,0.00114885437197236,0.0954,0.00131376436243339,0.1072,0.00138353286914334
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",2,0,6,0.11086,0.00140406595571576,0.13962,0.00155000810062399,0.15424,0.00161524005893861
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.06528,0.00110470377567925,0.0833,0.00123580831847014,0.09454,0.00130845090393182
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.04924,0.000967630326105998,0.06422,0.00109631921993551,0.0741,0.00117140249274107
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.04444,0.000921575676762359,0.05668,0.00103409262254403,0.06402,0.00109472772505313
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"normal",1,0,0,0.12814,0.00149479189454586,0.16762,0.00167047020685794,0.18122,0.00172266834649041
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",2,0,6,0.23542,0.00189735301723216,0.27718,0.00200175546758339,0.2941,0.00203767117072407
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.11226,0.00141179100719618,0.14144,0.00155842694021889,0.15308,0.00161025782780274
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.07772,0.00119732703636058,0.0996,0.00133925232872674,0.10822,0.00138930508960415
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.06042,0.00106554609097871,0.074,0.00117067501895274,0.08132,0.00122235066654377
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"normal",1,0,0,0.19632,0.00177639217291678,0.25274,0.00194351481805516,0.26822,0.0019813027613164
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",2,0,6,0.36986,0.00215899782491785,0.42056,0.00220766522099706,0.43744,0.00221849609600738
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.16016,0.00164017544427418,0.19936,0.00178670417473067,0.21314,0.00183145483373192
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.10392,0.00136470241151688,0.12958,0.0015019255880369,0.13964,0.00155010109605793
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.0752,0.00117936389634413,0.08956,0.00127702001863714,0.09742,0.00132611721653857
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"normal",1,0,0,0.34938,0.00213219893818565,0.42516,0.00221087753799255,0.44262,0.00222129482779752
