"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ats_h0p_power","ats_h0p_mc_se"
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.781,0.82066,0.00171567575258264
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"normal",1,0,0,0.99352,0.99816,0.000191656693073837
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",2,0,6,0.99998,0.99998,1.999979999901e-05
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.98982,0.9953,0.000305872849399878
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.96616,0.98264,0.000584099827084378
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",5,2,6.6,0.98412,0.98796,0.000487750723218327
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"normal",1,0,0,1,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",2,0,6,1,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",3,0.5,1,1,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",4,1,1.6,0.99986,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",5,2,6.6,0.99998,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.26746,0.18368,0.00173171393480563
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",2,0,6,0.39668,0.26994,0.00198530801841931
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.33036,0.21486,0.00183681888274266
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.39616,0.22904,0.00187925878154128
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.58178,0.29874,0.00204692165165157
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"normal",1,0,0,0.4945,0.30692,0.00206262024425244
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",2,0,6,0.713,0.49162,0.00223575390237835
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.60308,0.37566,0.00216582346649029
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.68912,0.42204,0.00220872016516353
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.8813,0.59148,0.00219832395064968
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"normal",1,0,0,0.68254,0.44614,0.00222305690615423
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",2,0,6,0.8833,0.70094,0.00204755032367949
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.78866,0.55178,0.00222404510565771
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.8632,0.6197,0.00217104541638354
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.97494,0.8111,0.00175052443570491
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"normal",1,0,0,0.89292,0.70664,0.00203617244063463
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",2,0,6,0.98632,0.9265,0.00116702827729237
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.95358,0.8213,0.00171327937009701
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.9799,0.87778,0.00146480218186621
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.99896,0.97668,0.000674924849149889
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"normal",1,0,0,0.99636,0.96962,0.000767555282699559
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",2,0,6,0.99998,0.9993,0.000118280175853778
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.99952,0.99238,0.000388894216979372
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.99994,0.99772,0.000213297988738757
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",5,2,6.6,1,0.99998,1.999979999901e-05
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"normal",1,0,0,1,0.99996,2.82837055563941e-05
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",2,0,6,1,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",3,0.5,1,1,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",4,1,1.6,1,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",5,2,6.6,1,1,0
