"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ps_kw_rejection","ps_kw_mc_se","ps_ats_rejection","ps_ats_mc_se"
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.05164,0.06196,0.00107815544704834,0.04898,0.000965204222949734
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.05122,0.06228,0.00108075160513413,0.04936,0.000968747546061408
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05024,0.0641,0.00109536468812903,0.0504,0.000978364349309601
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.03322,0.03508,0.000822792727240585,0.04452,0.000922366191921625
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03488,0.03776,0.000852457417118298,0.04654,0.000942061870579634
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.06076,0.06832,0.00112829408932246,0.08306,0.00123418828709399
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.22914,0.23808,0.00190471999831996,0.28574,0.00202035963333264
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.85042,0.8533,0.00158227121568965,0.90284,0.00132453715991663
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08502,0.12002,0.00145337675500883,0.05728,0.00103922087738844
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07762,0.10734,0.00138432744970256,0.05538,0.00102286905906866
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.12594,0.17066,0.00168246940180201,0.08156,0.00122399318952354
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.31336,0.40132,0.00219208693988172,0.20318,0.00179943261946648
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.85008,0.9001,0.00134104429457047,0.686,0.00207559148196364
