"design_set","design","omega_sq_regime","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",2,0,6,0.28932,0.35088,0.34114,0.45238,0.45338,0.45332,0.00202787542812669,0.00213430656467153,0.00212020518063701,0.00222590357203541,0.00222632691040647,0.00222630176570922,0.01168,0.0266,0.96172
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.26802,0.30596,0.3056,0.22222,0.25322,0.25326,0.0019808345695691,0.00206081769402342,0.002060139024435,0.0018592378632117,0.00194473459166026,0.00194483609797844,0.02814,0.33382,0.63804
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.26148,0.29492,0.29512,0.14768,0.16094,0.16094,0.00196523896562225,0.00203932436654888,0.00203972638165024,0.00158663554479282,0.00164340084215629,0.00164340084215629,0.00446,0.07752,0.91802
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.24874,0.27974,0.27912,0.10252,0.10256,0.10256,0.00193322741755852,0.00200741392044591,0.00200605097442712,0.0013565371325548,0.00135677150913483,0.00135677150913483,0,0.00012,0.99988
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"normal",1,0,0,0.4367,0.51496,0.51492,0.44344,0.50366,0.5036,0.00221807623854547,0.00223506688222075,0.00223507222970534,0.00222171540211612,0.00223600806975288,0.00223601001786665,0.00084,0.61576,0.3834
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"F.P.",2,0,6,0.45394,0.54708,0.54424,0.70074,0.70086,0.70086,0.00222656002119862,0.00222613330059096,0.00222729801508464,0.00204794263786855,0.0020477073052563,0.0020477073052563,0.00012,0.00242,0.99746
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.43824,0.51024,0.51012,0.35924,0.37862,0.3786,0.00221894435441721,0.00223559899087471,0.0022356099194627,0.00214563101394438,0.00216917908712029,0.00216915670249984,0.00056,0.15372,0.84572
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.42956,0.4958,0.4959,0.21688,0.21854,0.21854,0.00221376695431114,0.0022359890876299,0.00223599279963062,0.00184305759866587,0.0018481356465368,0.0018481356465368,2e-05,0.0078,0.99218
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.43218,0.49608,0.49616,0.14194,0.14194,0.14194,0.00221540266136881,0.00223599925581383,0.00223600203219943,0.00156072442410568,0.00156072442410568,0.00156072442410568,0,0,1
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"normal",1,0,0,0.77334,0.84734,0.84734,0.7792,0.80946,0.80946,0.00187235276804346,0.00160844598541574,0.00160844598541574,0.00185497902953106,0.00175632860478898,0.00175632860478898,0,0.33992,0.66008
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",2,0,6,0.7776,0.85454,0.85452,0.95982,0.95982,0.95982,0.00185977547031893,0.00157671423155878,0.00157680417046633,0.000878243333023371,0.000878243333023371,0.000878243333023371,0,0,1
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.77696,0.84616,0.84616,0.66254,0.66392,0.66392,0.00186168288599321,0.0016135256700778,0.0016135256700778,0.00211461934352261,0.00211248779215408,0.00211248779215408,0,0.01242,0.98758
