"design","effect_size","shift_scale","eta_h_sq","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"normal",1,0,0,0.7113,0.69852,0.71176,0.68208,0.69982,0.71204,0.00202658486128758,0.00205226611139979,0.0020256243600431,0.00208253150564403,0.00204974128904113,0.00202503846086932,0.9009,0.05148,0.04762
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",2,0,6,0.51532,0.53282,0.51954,0.69112,0.6873,0.6875,0.00223501810999374,0.00223124560548587,0.00223435981166866,0.00206626787034015,0.00207325208308107,0.00207289049397212,0.09952,0.00688,0.8936
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.6698,0.66212,0.67072,0.6896,0.6904,0.6959,0.00210317835667829,0.00211526407618529,0.00210168828135858,0.00206906664948232,0.00206759686592914,0.00205729526320361,0.51616,0.03692,0.44692
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.63098,0.62562,0.633,0.69084,0.69202,0.69226,0.00215798164774402,0.00216434570066799,0.00215550922057875,0.00206678539960007,0.00206459836094094,0.00206415160489728,0.03872,0.00626,0.95502
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.41708,0.4326,0.42204,0.68648,0.68648,0.68648,0.00220510441294738,0.00221565899903392,0.00220872016516353,0.00207472990820492,0.00207472990820492,0.00207472990820492,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.92138,0.91774,0.92158,0.90664,0.91788,0.9214,0.00120365190649124,0.00122876598585736,0.00120225041983773,0.00130110653214869,0.00122781354936326,0.00120351186117961,0.90226,0.05,0.04774
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.74502,0.7555,0.74716,0.9056,0.90492,0.90504,0.00194918033850129,0.00192208090360422,0.00194376919617531,0.00130758280808521,0.00131179109312421,0.00131104994870524,0.01502,0.00076,0.98422
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.89428,0.89082,0.8942,0.90934,0.90904,0.91074,0.00137508749976138,0.00139470231662531,0.00137554614608162,0.00128406202653922,0.00128597261557158,0.00127508942745205,0.33376,0.0232,0.64304
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.86424,0.86224,0.8652,0.91,0.91002,0.91004,0.00153185653636364,0.00154131231358216,0.00152727836362596,0.00127984374046209,0.00127971559027778,0.00127958742100726,9e-04,0.00022,0.99888
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.63886,0.64588,0.64344,0.9065,0.9065,0.9065,0.00214810567896461,0.00213878014578404,0.00214207827307967,0.00130198118265972,0.00130198118265972,0.00130198118265972,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,0.99876,0.99866,0.99876,0.99798,0.99864,0.99874,0.000157382489496133,0.000163597334941619,0.000157382489496133,0.000200794402312416,0.00016481203839526,0.000158645037741496,0.8978,0.049,0.0532
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",2,0,6,0.96894,0.96996,0.96892,0.99766,0.99766,0.99766,0.000775825707230689,0.000763381928001966,0.000776067440368426,0.000216079818585633,0.000216079818585633,0.000216079818585633,4e-05,0,0.99996
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.99722,0.99712,0.99726,0.99822,0.9982,0.99822,0.000235468537176414,0.000239654150809035,0.000233773069449839,0.000188511622983836,0.000189565819703871,0.000188511622983836,0.0941,0.00618,0.89972
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.99434,0.99426,0.9944,0.99818,0.99818,0.99818,0.000335498566315864,0.00033784766981585,0.000333725635814813,0.00019061414428106,0.00019061414428106,0.00019061414428106,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.92034,0.92284,0.92202,0.99796,0.99796,0.99796,0.00121090284003301,0.00119336779242612,0.00119915903532434,0.000201783963683938,0.000201783963683938,0.000201783963683938,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"normal",1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.90366,0.04712,0.04922
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",2,0,6,0.9998,0.99976,0.9998,1,1,1,6.32392283317844e-05,6.92737179599909e-05,6.32392283317844e-05,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",3,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0.00544,2e-04,0.99436
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",4,1,1.6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",5,2,6.6,0.99862,0.9988,0.99874,1,1,1,0.000166017806273908,0.000154826354345762,0.000158645037741496,0,0,0,0,0,1
