"design","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.72452,0.73348,0.73158,0.93698,0.93698,0.93698,0.00199795280024329,0.00197730670155138,0.00198177043877438,0.00108672424837214,0.00108672424837214,0.00108672424837214,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.9243,0.91962,0.9243,0.90866,0.9195,0.92396,0.00118295824102121,0.00121588696514109,0.00118295824102121,0.00128838662209757,0.00121671483922898,0.00118539376073944,0.8995,0.0498,0.0507
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.91876,0.92178,0.9197,0.98774,0.98728,0.98734,0.00122180245866507,0.00120084663133974,0.00121533460413172,0.000492131941657927,0.00050116268017481,0.000499994487969618,0.01424,7e-04,0.98506
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.922,0.92002,0.9225,0.93622,0.9354,0.9366,0.00119929979571415,0.00121312158994884,0.00119577380804231,0.00109281390547522,0.00109933470790292,0.00108977465560546,0.33722,0.02232,0.64046
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.92078,0.91924,0.9219,0.95268,0.9527,0.9527,0.00120784263544553,0.00121850582600167,0.0012000032499956,0.000949534808208736,0.000949344089358542,0.000949344089358542,7e-04,2e-04,0.9991
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.921,0.9259,0.92432,0.9966,0.9966,0.9966,0.00120630841827453,0.00117140249274107,0.00118281475810881,0.00026032441299271,0.00026032441299271,0.00026032441299271,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,0.99884,0.99876,0.99882,0.9981,0.9988,0.9988,0.000152227093514923,0.000157382489496133,0.000153532250683689,0.000194750609755144,0.000154826354345762,0.000154826354345762,0.89958,0.0494,0.05102
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",2,0,6,0.99798,0.9978,0.99796,1,1,1,0.000200794402312416,0.000209530904641773,0.000201783963683938,0,0,0,2e-05,0,0.99998
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.99864,0.99854,0.99858,0.99926,0.99922,0.99924,0.00016481203839526,0.000170755286887406,0.000168403301630341,0.000121610229832853,0.000124851239481232,0.000123241421608158,0.09526,0.00648,0.89826
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.9987,0.99872,0.9988,0.9997,0.9997,0.9997,0.000161140311530043,0.000159897567211008,0.000154826354345762,7.74480471025535e-05,7.74480471025535e-05,7.74480471025535e-05,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.99784,0.99816,0.99806,1,1,1,0.000207621501776673,0.000191656693073837,0.00019678599543667,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"normal",1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.89726,0.04962,0.05312
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",2,0,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",3,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0.00424,0.00028,0.99548
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",4,1,1.6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",5,2,6.6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.25708,0.23328,0.2599,0.22638,0.2355,0.26192,0.00195443021671279,0.00189135105995688,0.00196138721317337,0.0018715346408763,0.0018975760854311,0.00196630574224865,0.88564,0.06698,0.04738
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",2,0,6,0.28896,0.2986,0.28806,0.35372,0.33946,0.35472,0.00202712662850647,0.00204664623225412,0.00202524781891007,0.0021382336710472,0.00211767281892175,0.00213959679192132,0.50388,0.05144,0.44468
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.26484,0.27222,0.27076,0.25756,0.27526,0.2823,0.00197332092878984,0.0019905590752349,0.00198720417873957,0.00195562187756222,0.00199745804661825,0.00201299135616624,0.76116,0.07006,0.16878
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.26182,0.3017,0.27248,0.28598,0.30716,0.30292,0.00196606351677661,0.00205269145270301,0.00199115368367186,0.00202086832623999,0.00206306923974936,0.00205504001712862,0.48784,0.07466,0.4375
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.2862,0.39954,0.3143,0.4506,0.45304,0.45368,0.00202133401495151,0.00219046930314031,0.00207612865689966,0.00222512759184726,0.00222618399239596,0.00222645214455645,0.07874,0.0436,0.87766
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"normal",1,0,0,0.51486,0.48488,0.51506,0.48208,0.48756,0.51648,0.00223508022406356,0.00223504534898064,0.00223505345081499,0.00223463139510748,0.00223537579122616,0.00223485305825685,0.89372,0.05704,0.04924
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",2,0,6,0.53356,0.5619,0.53616,0.68996,0.67868,0.68134,0.00223102544315389,0.00221886633216154,0.00223021278984764,0.00206840614193635,0.00208841307025215,0.00208382247036546,0.23514,0.01816,0.7467
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.52198,0.51794,0.52522,0.53062,0.5333,0.54456,0.00223390635255823,0.00223462818562731,0.0022332216710394,0.00223187103390855,0.00223110335932695,0.0022271704308382,0.63794,0.04836,0.3137
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.52632,0.53752,0.53248,0.56994,0.5749,0.57744,0.00223296779018418,0.0022297634385737,0.00223134510822508,0.00221408399298672,0.00221083690036149,0.00220908599379925,0.16006,0.02734,0.8126
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.55566,0.6107,0.57242,0.78302,0.78304,0.78308,0.00222216995029633,0.00218057565793989,0.0022124888411018,0.00184336474741165,0.00184330333043696,0.00184318047732717,0.00086,0.00072,0.99842
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"normal",1,0,0,0.71608,0.69604,0.71534,0.68678,0.69696,0.71606,0.00201647927636264,0.00205702852872779,0.00201806186426482,0.00207419011471948,0.00205527009611876,0.00201652213674931,0.90012,0.0521,0.04778
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",2,0,6,0.72274,0.74064,0.72488,0.87546,0.8715,0.87224,0.00200193352736798,0.0019600632153071,0.00199714288722665,0.00147668404474349,0.00149658110371607,0.0014928990749545,0.09904,0.00654,0.89442
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.718,0.7098,0.71914,0.73196,0.73116,0.73968,0.00201234191925726,0.002029699288072,0.00200986397748703,0.00198088141189724,0.0019827508890428,0.00196241431711043,0.51838,0.03834,0.44328
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.72272,0.71658,0.7249,0.7698,0.77074,0.77136,0.00200197802984948,0.00201540618040136,0.00199709784437318,0.00188259374268587,0.0018798928288602,0.00187810409935126,0.0372,0.00636,0.95644
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.73866,0.75804,0.74828,0.92946,0.92946,0.92946,0.00196489900198458,0.00191528252955014,0.00194091237102554,0.00114511229493007,0.00114511229493007,0.00114511229493007,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"normal",1,0,0,0.92272,0.91674,0.9223,0.90732,0.91678,0.92214,0.00119421774898885,0.00123553852550214,0.00119718595046885,0.00129684553899067,0.00123526864770381,0.00119831398556472,0.8985,0.05128,0.05022
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",2,0,6,0.9196,0.92198,0.91978,0.9872,0.98694,0.98698,0.00121602499974302,0.00119944053291524,0.00121478188659528,0.000502715824298381,0.000507728990702717,0.000506961134605011,0.01372,0.00102,0.98526
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.9227,0.91608,0.92262,0.93242,0.93148,0.93386,0.00119435932616613,0.00123997930305308,0.00119492540018195,0.00112261252086372,0.00112982307995544,0.00111144500898605,0.33488,0.02122,0.6439
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.92552,0.91716,0.92482,0.95078,0.9508,0.9508,0.00117416122913338,0.00123270056704781,0.00117921980648224,0.000967443968403339,0.00096725756652507,0.00096725756652507,9e-04,2e-04,0.9989
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.92344,0.9208,0.92564,0.9951,0.9951,0.9951,0.00118910526363312,0.00120770327481547,0.00117329101590356,0.00031228160368488,0.00031228160368488,0.00031228160368488,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"normal",1,0,0,0.99866,0.99862,0.99866,0.99806,0.99864,0.99862,0.000163597334941619,0.000166017806273908,0.000163597334941619,0.00019678599543667,0.00016481203839526,0.000166017806273908,0.89978,0.05032,0.0499
