"design_set","design","omega_sq_regime","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.47156,0.47452,0.475,0.49132,0.497,0.50002,0.0022324478332091,0.00223316264342748,0.00223327114341273,0.00223573101065401,0.00223602772791395,0.00223606797571094,0.51614,0.03752,0.44634
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.47742,0.49014,0.4835,0.53556,0.53716,0.53696,0.00223378666662687,0.00223563315595381,0.00223485010683043,0.00223040573169995,0.00222988400774569,0.00222995048554895,0.03602,0.00562,0.95836
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.48758,0.54426,0.50888,0.7926,0.7926,0.7926,0.00223537801545958,0.00222729006822192,0.00223571530209014,0.00181320291197648,0.00181320291197648,0.00181320291197648,0,0,1
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.71968,0.71276,0.7198,0.6931,0.71234,0.71898,0.0020086846322905,0.00202352752588147,0.00200842206719604,0.00206258279833804,0.00202440966407494,0.00201021272307186,0.89782,0.05214,0.05004
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.7293,0.7321,0.73064,0.89058,0.89012,0.89012,0.00198706572613993,0.00198055340751013,0.00198396164479054,0.0013960463000918,0.00139861635626072,0.00139861635626072,0.01408,0.00068,0.98524
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.72194,0.73058,0.72434,0.75104,0.7528,0.75248,0.00200370974145459,0.00198410112443897,0.00199835714725872,0.0019337989471504,0.00192920792036525,0.00193004585230507,0.33534,0.02246,0.6422
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.72664,0.75022,0.7328,0.7998,0.79982,0.79988,0.00199315985510445,0.00193592330219975,0.00197890959874371,0.0017895248531384,0.00178945783744686,0.00178925674848525,9e-04,0.00032,0.99878
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.7302,0.78934,0.7483,0.96698,0.96698,0.96698,0.0019849834256235,0.00182363573336344,0.00194086120060142,0.000799120511562556,0.000799120511562556,0.000799120511562556,0,0,1
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,0.96308,0.96112,0.96322,0.95502,0.96102,0.96314,0.000843290146983824,0.000864503853085688,0.000841750932283416,0.000926895890593976,0.000865569865464366,0.000842630884788826,0.89882,0.04956,0.05162
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",2,0,6,0.96186,0.95918,0.96148,0.99658,0.99658,0.99658,0.000856566873046115,0.000884914997047739,0.00086065335182058,0.000261086330549877,0.000261086330549877,0.000261086330549877,6e-05,0,0.99994
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.96536,0.9692,0.96626,0.9747,0.975,0.97498,0.000817802792854121,0.000772675352266397,0.000807485137943727,0.000702280713105521,0.000698212002188447,0.000698484067105328,0.09492,0.00572,0.89936
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.96486,0.9735,0.96718,0.98672,0.98672,0.98672,0.000823470465772756,0.000718300076569674,0.000796779111171973,0.000511930495282318,0.000511930495282318,0.000511930495282318,0,0,1
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.96718,0.98312,0.9734,0.9999,0.9999,0.9999,0.000796779111171973,0.000576108767508359,0.000719617120418907,4.47191234261113e-05,4.47191234261113e-05,4.47191234261113e-05,0,0,1
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.20356,0.17084,0.20552,0.18264,0.17478,0.20776,0.00180068501632018,0.00168317375454823,0.00180710558407637,0.00172790410845047,0.00169842251280416,0.00181436370334065,0.88306,0.06908,0.04786
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",2,0,6,0.223,0.19002,0.22082,0.2789,0.24834,0.27764,0.00186156385869516,0.00175449365687084,0.00185503923193015,0.0020055662043423,0.00193218655621035,0.00200277822237012,0.50352,0.05066,0.44582
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.20236,0.1854,0.20582,0.19916,0.19484,0.216,0.00179672162785447,0.00173796915968034,0.00180808256227419,0.00178603076345286,0.0017713123631929,0.00184034779321736,0.75776,0.07102,0.17122
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.20426,0.2156,0.21112,0.22212,0.23268,0.23694,0.00180298559284316,0.00183911195961529,0.00182509367211658,0.0018589389747918,0.00188965614649862,0.00190157532798467,0.48966,0.07474,0.4356
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.21586,0.28776,0.24118,0.35602,0.3603,0.35988,0.0018399155437139,0.00202461938348915,0.00191317645605417,0.00214135358873774,0.00214701611544953,0.00214646866084739,0.08038,0.04228,0.87734
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"normal",1,0,0,0.39606,0.36472,0.39678,0.37246,0.36794,0.3985,0.00218721958842728,0.00215266960586152,0.00218790142191096,0.00216209874150095,0.00215666481586732,0.00218951021920429,0.89534,0.05624,0.04842
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",2,0,6,0.41788,0.40818,0.41988,0.56222,0.5489,0.55726,0.00220570308790644,0.00219804043456894,0.00220717369321039,0.00221868732181892,0.00222534846709454,0.00222135675837989,0.232,0.01848,0.74952
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.39788,0.38962,0.40228,0.41266,0.41044,0.42378,0.00218893355586687,0.00218090006923747,0.00219294688307765,0.0022016890080118,0.00219990457247582,0.00220993444065655,0.62838,0.05046,0.32116
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.40346,0.41816,0.4116,0.45544,0.46128,0.46206,0.00219399192523582,0.00220591121489511,0.00220084274767644,0.0022271704308382,0.00222935309720107,0.00222962129699194,0.16128,0.02668,0.81204
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.41484,0.48944,0.44032,0.68816,0.68826,0.68824,0.00220339635290612,0.00223556921789508,0.00222008242009165,0.00207169406235573,0.00207151235767494,0.00207154870760984,0.00086,0.00082,0.99832
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"normal",1,0,0,0.57598,0.55066,0.57646,0.54922,0.55258,0.5775,0.00221009972444684,0.00222456092027168,0.00220976862318207,0.00222520736831424,0.00222366968590211,0.00220904391083564,0.89464,0.05552,0.04984
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",2,0,6,0.58938,0.58884,0.5927,0.76896,0.76304,0.7645,0.00220005097940934,0.00220048837488408,0.00219730157238373,0.0018849961188289,0.00190163066024925,0.0018975760854311,0.1002,0.00696,0.89284
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.57712,0.57254,0.58038,0.60152,0.60056,0.60772,0.0022093098723357,0.00221241021693537,0.00220698461979235,0.00218949167433905,0.00219037753092931,0.00218355857077386,0.5174,0.0378,0.4448
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.58512,0.60312,0.59324,0.65356,0.65508,0.65464,0.00220342726496701,0.0021879957294291,0.00219684456619033,0.00212800059398488,0.00212579488003899,0.00212643584619899,0.03708,0.00644,0.95648
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.59656,0.65998,0.61656,0.87722,0.87722,0.87722,0.00219397432254801,0.00211852023639143,0.00217445977842774,0.00146768574020463,0.00146768574020463,0.00146768574020463,0,2e-05,0.99998
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"normal",1,0,0,0.8229,0.81134,0.82268,0.80032,0.8116,0.82242,0.001707252705372,0.00174967085133176,0.00170808441009219,0.00178778017440624,0.00174874492136503,0.00170906608181193,0.90182,0.04908,0.0491
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",2,0,6,0.82494,0.82622,0.82612,0.9504,0.95,0.95006,0.00169949402117218,0.00169458261291682,0.00169496752535262,0.000970977239692054,0.000974679434480897,0.000974125211664291,0.01388,0.00068,0.98544
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.8234,0.82542,0.82544,0.84664,0.84718,0.8483,0.00170535884786751,0.00169765617013576,0.0016975794909223,0.00161146337470015,0.0016091367101648,0.00160428868973137,0.33696,0.0236,0.63944
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.82584,0.83882,0.82998,0.88654,0.88656,0.88654,0.0016960441881036,0.00164439051079724,0.00167995952094091,0.00141835699596399,0.00141824797831691,0.00141835699596399,0.00088,2e-04,0.99892
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.82998,0.86834,0.84238,0.98728,0.98728,0.98728,0.00167995952094091,0.00151212198185199,0.00162957623694014,0.00050116268017481,0.00050116268017481,0.00050116268017481,0,0,1
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"normal",1,0,0,0.98904,0.98854,0.98908,0.98568,0.98842,0.98896,0.000465615257481968,0.000475997235286089,0.000464774216152317,0.000531317938714664,0.000478453834763607,0.000467292593564247,0.89834,0.05056,0.0511
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",2,0,6,0.98684,0.98696,0.98698,0.99974,0.99974,0.99974,0.000509643294864162,0.000507345215804782,0.000506961134605011,7.21016504665515e-05,7.21016504665515e-05,7.21016504665515e-05,6e-05,0,0.99994
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.98956,0.99028,0.98976,0.99348,0.9934,0.99342,0.000454554867975253,0.000438760107575881,0.00045022533025142,0.000359930259911555,0.000362117108129402,0.000361571669244149,0.0923,0.00602,0.90168
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.98994,0.99164,0.9906,0.9964,0.9964,0.9964,0.000446291303970847,0.000407188172716252,0.000431546984695756,0.000267844731141012,0.000267844731141012,0.000267844731141012,0,0,1
"brunner","unbalanced n, equal SD","unbal","one-point alternative: last group shifted by 0.50",1,0.0553505535055351,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",5,2,6.6,0.98852,0.99312,0.99112,0.99996,0.99996,0.99996,0.000476407590199821,0.000369666487526257,0.00041955084554795,2.82837055563941e-05,2.82837055563941e-05,2.82837055563941e-05,0,0,1
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"normal",1,0,0,0.0996,0.07394,0.09488,0.0806,0.07874,0.09872,0.00133925232872674,0.00117023823557428,0.00131055549748952,0.00121740412353499,0.00120449169694108,0.00133397422463854,0.48642,0.3983,0.11528
