"design","effect_size","shift_scale","eta_h_sq","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"normal",1,0,0,0.2,0.2,0.2,0.15,0.2,0.2,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.0798435971133566,0.0894427190999916,0.0894427190999916,0.85,0.15,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",2,0,6,0.2,0.2,0.2,0.2,0.2,0.2,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.5,0,0.5
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.15,0.2,0.15,0.15,0.2,0.15,0.0798435971133566,0.0894427190999916,0.0798435971133566,0.0798435971133566,0.0894427190999916,0.0798435971133566,0.65,0.05,0.3
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.25,0.2,0.2,0.2,0.2,0.25,0.0968245836551854,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.0968245836551854,0.3,0.2,0.5
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.2,0.4,0.35,0.3,0.35,0.35,0.0894427190999916,0.109544511501033,0.106653645038508,0.102469507659596,0.106653645038508,0.106653645038508,0.15,0.05,0.8
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"normal",1,0,0,0.35,0.35,0.35,0.35,0.35,0.35,0.106653645038508,0.106653645038508,0.106653645038508,0.106653645038508,0.106653645038508,0.106653645038508,0.9,0,0.1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",2,0,6,0.4,0.4,0.35,0.45,0.45,0.45,0.109544511501033,0.109544511501033,0.106653645038508,0.111242977306435,0.111242977306435,0.111242977306435,0.25,0.05,0.7
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.4,0.45,0.4,0.45,0.45,0.45,0.109544511501033,0.111242977306435,0.109544511501033,0.111242977306435,0.111242977306435,0.111242977306435,0.55,0.05,0.4
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.5,0.5,0.5,0.5,0.5,0.5,0.111803398874989,0.111803398874989,0.111803398874989,0.111803398874989,0.111803398874989,0.111803398874989,0.15,0.05,0.8
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.2,0.2,0.2,0.4,0.4,0.4,0.0894427190999916,0.0894427190999916,0.0894427190999916,0.109544511501033,0.109544511501033,0.109544511501033,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"normal",1,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.106653645038508,0.106653645038508,0.106653645038508,0.106653645038508,0.106653645038508,0.106653645038508,0.9,0.05,0.05
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",2,0,6,0.25,0.4,0.25,0.65,0.65,0.65,0.0968245836551854,0.109544511501033,0.0968245836551854,0.106653645038508,0.106653645038508,0.106653645038508,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.75,0.8,0.75,0.75,0.8,0.75,0.0968245836551854,0.0894427190999916,0.0968245836551854,0.0968245836551854,0.0894427190999916,0.0968245836551854,0.75,0,0.25
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.6,0.55,0.55,0.7,0.7,0.7,0.109544511501033,0.111242977306435,0.111242977306435,0.102469507659596,0.102469507659596,0.102469507659596,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.4,0.45,0.45,0.65,0.65,0.65,0.109544511501033,0.111242977306435,0.111242977306435,0.106653645038508,0.106653645038508,0.106653645038508,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.0487339717240448,0.0487339717240448,0.0487339717240448,0.0487339717240448,0.0487339717240448,0.0487339717240448,1,0,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.85,0.9,0.85,0.95,0.95,0.95,0.0798435971133566,0.0670820393249937,0.0798435971133566,0.0487339717240448,0.0487339717240448,0.0487339717240448,0.05,0,0.95
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0.25,0.05,0.7
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.95,0.95,0.95,0.95,0.95,0.95,0.0487339717240448,0.0487339717240448,0.0487339717240448,0.0487339717240448,0.0487339717240448,0.0487339717240448,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.7,0.65,0.7,0.8,0.8,0.8,0.102469507659596,0.106653645038508,0.102469507659596,0.0894427190999916,0.0894427190999916,0.0894427190999916,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.9,0.1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",2,0,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",3,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0.2,0,0.8
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.95,0.95,0.95,1,1,1,0.0487339717240448,0.0487339717240448,0.0487339717240448,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.95,0.95,0.95,1,1,1,0.0487339717240448,0.0487339717240448,0.0487339717240448,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"normal",1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.9,0.1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",2,0,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",3,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0.05,0,0.95
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",4,1,1.6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",5,2,6.6,0.95,1,1,1,1,1,0.0487339717240448,0,0,0,0,0,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.08606710202999,0.0708739124478115,0.0730748648185426,"0.0000, 0.2715, 0.5430, 0.8146","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.25,0.15,0.25,0.15,0.15,0.2,0.0968245836551854,0.0798435971133566,0.0968245836551854,0.0798435971133566,0.0798435971133566,0.0894427190999916,0.85,0.1,0.05
