"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ats_h0p_rejection","ats_h0p_mc_se"
"balanced n, unequal SD",20,"20, 20, 20, 20","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.07494,0.06916,0.00113469726711577
"balanced n, unequal SD",20,"20, 20, 20, 20","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.1425,0.13268,0.00151707625121482
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04506,0.05628,0.00103065572913558
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04672,0.05618,0.00102979422798926
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04946,0.05594,0.0010277228848284
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04658,0.05674,0.00103460690506105
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04756,0.05466,0.00101658530778287
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.03028,0.05072,0.000981299970447365
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03218,0.05094,0.000983311917958895
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.03388,0.05426,0.00101307307140206
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.04448,0.0682,0.00112737535896435
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.09462,0.14146,0.00155851896619836
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.0818,0.06134,0.0010731020864764
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07566,0.05852,0.00104971814883806
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.08448,0.06316,0.00108784938663401
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.10294,0.07316,0.00116453951757766
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.17992,0.10972,0.00139772330308971
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04664,0.0488,0.000963520212553945
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.0483,0.04978,0.000972645378336832
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0504,0.04894,0.000964830310469152
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04884,0.05062,0.000980383757515392
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.0481,0.04868,0.000962395527836658
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05614,0.04946,0.000969677352525055
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05288,0.05138,0.000987320572053475
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.05992,0.05396,0.00101042880402332
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.08522,0.07656,0.00118910526363312
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.19822,0.18144,0.00172348209390176
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04854,0.05324,0.00100404683556097
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04812,0.05458,0.00101588408393871
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04798,0.05336,0.00100511402736207
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04692,0.05366,0.00100777581237099
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.0475,0.0542,0.00101254491258413
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.0302,0.04822,0.000958069220881247
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03388,0.05068,0.000980933612432564
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.036,0.05534,0.00102252124085517
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.05288,0.07676,0.00119052847424999
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.13808,0.19474,0.00177096771512075
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08354,0.05498,0.00101938412387088
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07586,0.05492,0.00101886008460436
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.08684,0.0591,0.00105458228697433
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.11542,0.07312,0.00116424624199522
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.22934,0.12694,0.00148879976088123
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0509,0.05122,0.000985865219997135
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04798,0.0499,0.00097375551346321
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04654,0.04892,0.000964643287438419
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.05094,0.04894,0.000964830310469152
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05074,0.04954,0.00097042040786455
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05534,0.05078,0.000981849190049063
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05234,0.05086,0.000982580891326511
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.06312,0.05678,0.0010349495794482
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.10868,0.09822,0.00133096079281097
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.32144,0.28958,0.00202841526123228
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0478,0.0523,0.000995637584666228
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04926,0.05066,0.000980750369869928
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0491,0.0527,0.000999226801081716
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.0489,0.05376,0.00100866111653022
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05086,0.05172,0.000990404378019403
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.03232,0.04926,0.000967816639658567
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03576,0.05208,0.000993656616744437
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.03812,0.0584,0.00104870815768735
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.07,0.10386,0.00136435406255121
"unbalanced n, larger n with larger SD",50,"25, 40, 60, 75","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.2356,0.32268,0.00209073010022815
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08426,0.05352,0.00100653474455679
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07662,0.05132,0.000986775127371986
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.09298,0.05816,0.0010466844261763
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.13782,0.08328,0.00123567343258646
"unbalanced n, larger n with smaller SD",50,"25, 40, 60, 75","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.32892,0.18128,0.00172289037143981
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0496,0.0491,0.00096632489360463
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.05068,0.04848,0.000960517460538849
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0492,0.04988,0.000973570599391744
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04964,0.04978,0.000972645378336832
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04862,0.05028,0.00097726067760859
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.0528,0.04874,0.000962958071776752
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05366,0.05176,0.000990766394262543
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.0751,0.0673,0.00112045267637683
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.169,0.15402,0.00161429761568306
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.588,0.55822,0.00222085763433859
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04938,0.04976,0.000972460203812989
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04932,0.05048,0.000979099275865323
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04852,0.05046,0.000978915608211454
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04844,0.05114,0.000985136542820334
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04982,0.05068,0.000980933612432564
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.0319,0.05124,0.000986047284870254
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03456,0.05032,0.00097762873934843
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.04628,0.06808,0.0011264556236266
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.11446,0.15984,0.00163884821993985
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.49806,0.60218,0.00218887755527805
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08332,0.05078,0.000981849190049063
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07846,0.04848,0.000960517460538849
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.10216,0.0619,0.00107766775956229
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.19272,0.10996,0.00139906253184052
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.56014,0.34466,0.00212541518014716
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.05062,0.04936,0.000968747546061408
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.05004,0.05122,0.000985865219997135
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.05012,0.04908,0.00096613822613537
