"design_set","design","omega_sq_regime","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"normal",1,0,0,0.57144,0.52434,0.57182,0.52146,0.52816,0.57416,0.00221312596297635,0.00223341695345943,0.00221287996782473,0.00223400746820596,0.00223251882142122,0.00221133577007202,0.88854,0.0632,0.04826
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",2,0,6,0.60908,0.60918,0.61534,0.69208,0.674,0.69368,0.00218220784344663,0.00218210782318381,0.00217576048497991,0.00206448673330685,0.00209630150503214,0.00206149488284594,0.50618,0.04824,0.44558
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.57776,0.55994,0.5834,0.5677,0.57636,0.60072,0.00220886116539723,0.00221994232537695,0.0022047423432229,0.00221547606622143,0.00220983777866159,0.00219023049745911,0.7582,0.06518,0.17662
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.5791,0.58542,0.5907,0.60638,0.62354,0.6296,0.00220790937314012,0.00220319505990732,0.00219897025900761,0.00218487205849679,0.00216673887859151,0.00215964737862458,0.4896,0.07428,0.43612
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.6143,0.69038,0.64764,0.7894,0.79642,0.7929,0.00217685787317409,0.00206763369870004,0.00213636340728819,0.00182344531039458,0.00180075086339005,0.00181223392529772,0.08022,0.04422,0.87556
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"normal",1,0,0,0.90306,0.88578,0.90244,0.88124,0.88686,0.90276,0.00132319791716886,0.00142248930821992,0.00132696681495808,0.00144676233293516,0.00141661102918197,0.00132502364054382,0.89716,0.05452,0.04832
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",2,0,6,0.89618,0.8871,0.89604,0.96496,0.95914,0.96142,0.00136412175116446,0.00141529919098401,0.00136493456546459,0.000822340542597773,0.000885329999491715,0.000861296506436662,0.23656,0.01684,0.7466
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.90166,0.90646,0.90386,0.91426,0.91694,0.91768,0.00133168498076685,0.00130223091961449,0.00131831028517569,0.00125210744267415,0.00123418828709399,0.00122917384938014,0.6357,0.04762,0.31668
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.90412,0.9287,0.9104,0.94602,0.949,0.94684,0.00131671580532779,0.00115079372608648,0.00127727710384239,0.00101060535917835,0.000983859746102055,0.00100333458427386,0.15852,0.02486,0.81662
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.90312,0.95828,0.92054,0.9937,0.9937,0.9937,0.00132283230683258,0.000894197311559367,0.00120951319463659,0.000353844881268614,0.000353844881268614,0.000353844881268614,5e-04,0.00072,0.99878
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"normal",1,0,0,0.98394,0.98118,0.98388,0.97756,0.98102,0.98378,0.000562175709187083,0.00060771387346349,0.000563207698811016,0.000662366158555825,0.000610241912687092,0.000564923208940826,0.89704,0.05384,0.04912
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",2,0,6,0.97678,0.96998,0.97568,0.99744,0.99658,0.99684,0.000673510676975503,0.000763135631457476,0.000688890957989724,0.000225984353440675,0.000261086330549877,0.000250998581669302,0.09922,0.00624,0.89454
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.98502,0.98774,0.98544,0.98958,0.98972,0.9892,0.000543242111769697,0.000492131941657927,0.000535686594941483,0.000454123850948174,0.000451094704025661,0.000462241495324685,0.51614,0.03752,0.44634
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.98626,0.9931,0.98824,0.99596,0.99606,0.99598,0.000520599892431798,0.00037019967585075,0.000482114144160903,0.0002836786350785,0.000280159825813768,0.000282978430273405,0.03602,0.00562,0.95836
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.98284,0.99682,0.98848,0.99994,0.99994,0.99994,0.000580784545248924,0.000251789102226445,0.000477227191178373,3.46399769052894e-05,3.46399769052894e-05,3.46399769052894e-05,0,0,1
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.99982,0.99978,0.99982,0.9995,0.99978,0.99982,5.99945997569711e-05,6.63251988312132e-05,5.99945997569711e-05,9.9974996874213e-05,6.63251988312132e-05,5.99945997569711e-05,0.89782,0.05214,0.05004
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.99916,0.99824,0.99894,1,1,1,0.000129560364309456,0.000187451455049033,0.000145525008160106,0,0,0,0.01408,0.00068,0.98524
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.99972,0.99988,0.99972,0.99998,0.99994,0.99992,7.48226703613212e-05,4.89868553797871e-05,7.48226703613212e-05,1.999979999901e-05,3.46399769052894e-05,3.9998399967991e-05,0.33534,0.02246,0.6422
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.99982,0.99996,0.99984,1,1,1,5.99945997569711e-05,2.82837055563941e-05,5.6564016830499e-05,0,0,0,9e-04,0.00032,0.99878
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.9997,1,0.99988,1,1,1,7.74480471025535e-05,0,4.89868553797871e-05,0,0,0,0,0,1
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 1.00",1,0.157894736842105,"0.00, 0.00, 0.00, 1.00","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.89882,0.04956,0.05162
