"grid","design","panel","sd_per_group","group_mean_offsets","psi","c_kw_psi"
"brunner","unbalanced n, larger n with larger SD",1,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4328, 0.4851, 0.5247, 0.5573",0.00863859898360368
"brunner","unbalanced n, larger n with larger SD",2,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4137, 0.4809, 0.5308, 0.5747",0.0143368115281187
"brunner","unbalanced n, larger n with larger SD",3,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4406, 0.4873, 0.5201, 0.5521",0.0068086571764921
"brunner","unbalanced n, larger n with larger SD",4,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4554, 0.4918, 0.5116, 0.5412",0.0038811084061635
"brunner","unbalanced n, larger n with larger SD",5,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4676, 0.4962, 0.5015, 0.5347",0.00226958732519653
"brunner","unbalanced n, larger n with smaller SD",1,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75","0.4430, 0.4761, 0.5140, 0.5669",0.00849745720150435
"brunner","unbalanced n, larger n with smaller SD",2,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75","0.4257, 0.4690, 0.5176, 0.5877",0.0144737256834425
"brunner","unbalanced n, larger n with smaller SD",3,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75","0.4317, 0.4678, 0.5190, 0.5816",0.0127233779466372
"brunner","unbalanced n, larger n with smaller SD",4,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75","0.4198, 0.4616, 0.5237, 0.5949",0.0174670903576007
"brunner","unbalanced n, larger n with smaller SD",5,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75","0.3926, 0.4462, 0.5322, 0.6290",0.0320999359339343
"omega_fixed","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3967, 0.4656, 0.5349, 0.6028",0.023646276283433
"omega_fixed","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3735, 0.4576, 0.5430, 0.6258",0.0354632500681096
"omega_fixed","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3913, 0.4642, 0.5367, 0.6077",0.026043600375395
"omega_fixed","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3878, 0.4627, 0.5374, 0.6121",0.0279407696995658
"omega_fixed","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3625, 0.4522, 0.5472, 0.6382",0.0425096223342278
"omega_fixed","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109","0.3890, 0.4632, 0.5377, 0.6101",0.0272332727760318
