"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.33526,0.39372,0.00218496938925926,0.38558,0.00217673178687683
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"normal",1,0,0,0.56024,0.59306,0.00219699720709882,0.66952,0.00210363005112591
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",2,0,6,0.8197,0.85116,0.00159177042565817,0.87192,0.0014944933161443
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.52918,0.57176,0.00221291889774569,0.62496,0.00216510968960004
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.42718,0.47852,0.0022340036239899,0.5207,0.00223415089015939
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.51376,0.57536,0.00221052423827471,0.56496,0.00221711613768878
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"normal",1,0,0,0.83284,0.85494,0.00157491330809032,0.8975,0.00135641992023119
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",2,0,6,0.97652,0.98146,0.000603262271321521,0.98582,0.00052875188132053
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.80676,0.8325,0.00166999251495329,0.86554,0.00152565073591566
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.69972,0.73962,0.00196256085561697,0.77426,0.00186966014237882
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.781,0.8216,0.00171215326416767,0.81414,0.00173963249222357
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"normal",1,0,0,0.99352,0.99488,0.000319179748731025,0.99764,0.000216999096772315
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",2,0,6,0.99998,1,0,0.99998,1.999979999901e-05
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.98982,0.99272,0.000380184207983445,0.99548,0.000299985652990271
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.96616,0.97356,0.000717508556046547,0.97944,0.000634622508267711
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 80, 120, 150",100,"F.P.",5,2,6.6,0.98412,0.98884,0.000469796858227042,0.98738,0.000499214094352312
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"normal",1,0,0,1,1,0,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",2,0,6,1,1,0,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",3,0.5,1,1,0.99998,1.999979999901e-05,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",4,1,1.6,0.99986,0.99998,1.999979999901e-05,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 160, 240, 300",200,"F.P.",5,2,6.6,0.99998,0.99998,1.999979999901e-05,0.99996,2.82837055563941e-05
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.26746,0.34818,0.00213049612813542,0.1758,0.00170231818412423
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",2,0,6,0.39668,0.48436,0.00223497378239656,0.26192,0.00196630574224865
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.33036,0.42162,0.00220842285624832,0.20652,0.00181035626107128
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.39616,0.4963,0.00223600675312039,0.22578,0.00186977748194805
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.58178,0.6773,0.00209076402303082,0.3059,0.00206070468529578
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"normal",1,0,0,0.4945,0.5921,0.00219780613339758,0.31266,0.002073179801175
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",2,0,6,0.713,0.78518,0.00183669468121406,0.5032,0.00223602218235866
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.60308,0.69374,0.00206138212081118,0.38542,0.00217656345462291
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.68912,0.77296,0.00187346117333667,0.44126,0.00222058376288759
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.8813,0.92176,0.00120098711400248,0.62372,0.00216653345970008
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"normal",1,0,0,0.68254,0.75856,0.0019138794444792,0.45976,0.00222881467331853
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",2,0,6,0.8833,0.92268,0.00119450087986573,0.72244,0.00200260054129624
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.78866,0.85626,0.0015689411231783,0.5781,0.00220862124412494
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.8632,0.90954,0.00128278594005391,0.64242,0.00214343902922383
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.97494,0.9861,0.000523579793345771,0.84532,0.00161712150192866
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"normal",1,0,0,0.89292,0.93104,0.00113317711237035,0.73162,0.00198167694440845
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",2,0,6,0.98632,0.99238,0.000388894216979372,0.93516,0.00110123362099057
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.95358,0.97342,0.000719353926798208,0.83898,0.00164373087578229
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.9799,0.98922,0.000461817964137386,0.89404,0.00137646270127454
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.99896,0.99964,8.48375388610522e-05,0.984,0.000561141693336006
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"normal",1,0,0,0.99636,0.9983,0.000184234090222197,0.97544,0.000692196596351066
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",2,0,6,0.99998,0.99998,1.999979999901e-05,0.99944,0.0001058004158782
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.99952,0.9998,6.32392283317844e-05,0.99454,0.000329550857987049
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.99994,1,0,0.99854,0.000170755286887406
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","50, 80, 120, 150",100,"F.P.",5,2,6.6,1,1,0,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"normal",1,0,0,1,1,0,0.99994,3.46399769052894e-05
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",2,0,6,1,1,0,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",3,0.5,1,1,1,0,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",4,1,1.6,1,1,0,1,0
"unbalanced n, larger n with smaller SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","2.2, 1.7, 1.3, 1.0","100, 160, 240, 300",200,"F.P.",5,2,6.6,1,1,0,1,0
